id,url,old_rank,new_rank
126,https://www.nmims.edu/postgraduate-science,1,1
127,https://www.nmims.edu/postgraduate-economics,0.041818037,0.03790375
128,https://www.nmims.edu/postgraduate-law,0.041818037,0.03790375
129,https://www.nmims.edu/postgraduate-commerce,1,1
130,https://www.nmims.edu/postgraduate-architecture,1,1
131,https://www.nmims.edu/postgraduate-continuing-education,1,1
132,https://www.nmims.edu/undergraduate-management,1,1
133,https://www.nmims.edu/nmims-old-website/students,1,1
134,https://www.nmims.edu/nmims-old-website/contact-us,1,1
135,https://www.nmims.edu/nmims-old-website/about,1,1
136,https://www.nmims.edu/nmims-old-website/about/offices-and-administration/chancellor,1,1
137,https://www.nmims.edu/nmims-old-website/about/offices-and-administration/vice-chancellor,3.074608532,3.544032325
138,https://www.nmims.edu/nmims-old-website/about/offices-and-administration/pro-vice-chancellor,1,1
139,https://www.nmims.edu/nmims-old-website/about/offices-and-administration/administration-team,1,1
140,https://www.nmims.edu/nmims-old-website/faculty-and-staff,1,1
141,https://www.nmims.edu/nmims-old-website/admissions,1,1
142,https://www.nmims.edu/nmims-old-website/business,1,1
143,https://www.nmims.edu/nmims-old-website/engineering,1,1
144,https://www.nmims.edu/nmims-old-website/https://nmimsbengaluru.org,1,1
145,https://www.nmims.edu/nmims-old-website/mumbai,1,1
146,https://www.nmims.edu/nmims-old-website/shirpur,1,1
147,https://www.nmims.edu/nmims-old-website/department-of-life-skills,1,1
148,https://www.nmims.edu/nmims-old-website/awards,2.932557055,3.378734707
149,https://www.nmims.edu/nmims-old-website/research,2.9918003,3.447652553
150,https://www.nmims.edu/admission-sat,1,1
151,https://www.nmims.edu/navi-mumbai-campus,1,1
152,https://www.nmims.edu/nmims-old-website/docs/Transforming%20Disruptive%20Adversity%20into%20Opportunity-13-4-20-2pmpdf.pdf,1,1
153,https://www.nmims.edu/nmims-old-website/result,1,1
154,https://www.nmims.edu/result,1,1
155,https://www.nmims.edu/nmims-old-website/programs/under-graduate,1,1
156,https://www.nmims.edu/nmims-old-website/programs/post-graduate,1,1
157,https://www.nmims.edu/nmims-old-website/programs/integrated-programs,0.518617402,0.5650575
